contract_address,implementation_address,contract_name,function_name,signature,state_mutability,input_params,output_params
0x0b98057ea310f4d31f2a452b414647007d1645d9,0x49dE1aced385334F1a66d86Db363264eB5b6A708,SBCDepositContract,batchDeposit,47b1cfc7,nonpayable,"[{""name"": ""pubkeys"", ""type"": ""bytes"", ""position"": 1}, {""name"": ""withdrawal_credentials"", ""type"": ""bytes"", ""position"": 2}, {""name"": ""signatures"", ""type"": ""bytes"", ""position"": 3}, {""name"": ""deposit_data_roots"", ""type"": ""bytes32[]"", ""position"": 4}, {""name"": ""amounts"", ""type"": ""uint256[]"", ""position"": 5}]",[]
0x0b98057ea310f4d31f2a452b414647007d1645d9,0x49dE1aced385334F1a66d86Db363264eB5b6A708,SBCDepositContract,batchDeposit,c82655b7,nonpayable,"[{""name"": ""pubkeys"", ""type"": ""bytes"", ""position"": 1}, {""name"": ""withdrawal_credentials"", ""type"": ""bytes"", ""position"": 2}, {""name"": ""signatures"", ""type"": ""bytes"", ""position"": 3}, {""name"": ""deposit_data_roots"", ""type"": ""bytes32[]"", ""position"": 4}]",[]
0x0b98057ea310f4d31f2a452b414647007d1645d9,0x49dE1aced385334F1a66d86Db363264eB5b6A708,SBCDepositContract,claimTokens,69ffa08a,nonpayable,"[{""name"": ""_token"", ""type"": ""address"", ""position"": 1}, {""name"": ""_to"", ""type"": ""address"", ""position"": 2}]",[]
0x0b98057ea310f4d31f2a452b414647007d1645d9,0x49dE1aced385334F1a66d86Db363264eB5b6A708,SBCDepositContract,claimWithdrawal,a3066aab,nonpayable,"[{""name"": ""_address"", ""type"": ""address"", ""position"": 1}]",[]
0x0b98057ea310f4d31f2a452b414647007d1645d9,0x49dE1aced385334F1a66d86Db363264eB5b6A708,SBCDepositContract,claimWithdrawals,bb30b8fd,nonpayable,"[{""name"": ""_addresses"", ""type"": ""address[]"", ""position"": 1}]",[]
0x0b98057ea310f4d31f2a452b414647007d1645d9,0x49dE1aced385334F1a66d86Db363264eB5b6A708,SBCDepositContract,deposit,0cac9f31,nonpayable,"[{""name"": ""pubkey"", ""type"": ""bytes"", ""position"": 1}, {""name"": ""withdrawal_credentials"", ""type"": ""bytes"", ""position"": 2}, {""name"": ""signature"", ""type"": ""bytes"", ""position"": 3}, {""name"": ""deposit_data_root"", ""type"": ""bytes32"", ""position"": 4}, {""name"": ""stake_amount"", ""type"": ""uint256"", ""position"": 5}]",[]
0x0b98057ea310f4d31f2a452b414647007d1645d9,0x49dE1aced385334F1a66d86Db363264eB5b6A708,SBCDepositContract,executeSystemWithdrawals,319ebe9c,nonpayable,"[{""name"": ""_amounts"", ""type"": ""uint64[]"", ""position"": 1}, {""name"": ""_addresses"", ""type"": ""address[]"", ""position"": 2}]",[]
0x0b98057ea310f4d31f2a452b414647007d1645d9,0x49dE1aced385334F1a66d86Db363264eB5b6A708,SBCDepositContract,executeSystemWithdrawals,79d0c0bc,nonpayable,"[{""name"": """", ""type"": ""uint256"", ""position"": 1}, {""name"": ""_amounts"", ""type"": ""uint64[]"", ""position"": 2}, {""name"": ""_addresses"", ""type"": ""address[]"", ""position"": 3}]",[]
0x0b98057ea310f4d31f2a452b414647007d1645d9,0x49dE1aced385334F1a66d86Db363264eB5b6A708,SBCDepositContract,get_deposit_count,621fd130,view,[],"[{""name"": """", ""type"": ""bytes"", ""position"": 1}]"
0x0b98057ea310f4d31f2a452b414647007d1645d9,0x49dE1aced385334F1a66d86Db363264eB5b6A708,SBCDepositContract,get_deposit_root,c5f2892f,view,[],"[{""name"": """", ""type"": ""bytes32"", ""position"": 1}]"
